动物相亲谈恋爱,1、蜘蛛对螃蟹的女朋友虾米说：“屁股大有啥用，整天扛着两把老虎钳，一看就知道是个下岗工人。”   虾米说：“再怎么样都比你强。一个纺
小白兔买胡萝卜,"一天,小白兔跑到药店里,问老板:""老板老板,你这里有胡萝卜吗?""   老板说:""没有。""   小白兔就走了。   第二天,小白兔跑到药店里,问老板:""老"
冷死人的大象、斑马和蜗牛,1、一个歌手、一个演员和一个画家被一群大象包围了。   为首的大象让他们表演自己的才艺。   歌手唱了一首动听的歌，大象们很满意，放
"动物搞起笑,分分钟让你笑喷",1、螃蟹笑兔子：你喝醉了，眼睛都喝红了。   兔子说：你才喝醉了呢，满嘴都是白沫，都吐成什么样啦！！！   2、一癞蛤蟆追求天鹅，天鹅
高冷的爆逗动物,1、一只小鳄鱼问爸爸：“爸爸，我以后会有钱吗？”   “会，当然会的。”鳄鱼爸爸回答。   “什么时候会有？”小鳄鱼刨根问底。   “
动物MM最想要的定亲礼物,1、长颈鹿MM：我想要一副金耳环，要那种从耳朵坠到肩膀的那种。   2、大象MM：我想镶两颗金牙，不过分吧。   3、海龟MM：我想把我的龟甲换
动物们的幽怨语录,动物们的幽怨语录：   1、蜜蜂：这世界上贪占别人“甜头”的人实在是太多了，我是不得已才配备这杆“枪”的。   2、羊：同胞们，请注意
很有灵性的爆笑狗狗,1、我养了一条狗。 打从买回它那一天起，我一有空就训练它，将地上的丢的钱给叼起来。   现在终于有回报了，每次放它出门，大部分情况下
很逗的动物趣语、小笑话,1、鹬：不抛弃。   蚌：不放弃。   萤火虫：我闪。   山羊：我顶。   东海之鳖：我路过。   乌鸦：我很傻，很天真。   猴子：我
幽默的十二生肖求职简历.,1、猪：长相反派，性情温和，体重超标，也就是“我很丑可是我很温柔”这种类型的。失业前为乡镇企业CEO，不挑岗，有口饭吃就行。   2、鼠
动物的整容效果很搞笑,1、鹿年轻的时候，爱上一个女孩叫梅花，后来分手，它文了女孩的名字在身上，纪念逝去的青春和爱情。   2、长颈鹿控告增高药厂家：增高不
搞笑小动物乐死人,1、公老鼠抱着她的老鼠女友，温情的说：“这辈子我们在一起，我会让你做一只快乐的小老鼠，笨笨地相爱，呆呆地依偎，傻傻地在一起过日子，
动物的满腹牢骚。,1、乌鸦：我把嘴闭上了，外面就没人说你的闲话啦？   2、猫：满大街人都争着捉耗子，我干嘛不睡觉。   3、老鼠：人们总說我胆小，不信你
爆冷萌翻天的动物伙伴们,1、“妈妈妈妈，我好像有强迫症。”   “为什么这么说？”   “我睡觉时不把手放在头下就睡不着。”   “那你就放呀！”   “妈妈妈
动物的幽默哲学。,1、羊最大的敌人不是狼，而是牧羊人。   2、乌龟只有在伸出头时才能向前挪动。   3、蚂蚁聚在一起，连狮子都能咬死。   4、绵羊再多，
经典爆笑的小动物。,1、一只猫捉住一只老鼠，正要大开杀戒，老鼠突然说话了：“猫大哥，求求您放了我吧。我会告诉您一个天大的秘密！”猫问：“什么秘密?你快说
小鸟接吻、北极熊和动物体检等冷幽默,1、两只小鸟分别站在零线和火线上，本来他们相安无事。   后来那只雄鸟亲了雌鸟一下。这个故事告诉我们，秀恩爱的都得死。   ——鸟嘴
灰太狼、猫爱上只羊等动物冷幽默,1、灰太狼抓住美羊羊，并把美羊羊的肚子搞大。红太狼得知后特别生气，用平底锅狠狠的拍灰太狠。灰太狠委屈的说：“老婆，其实我只是想要你
动物嘴里的网络流行语,1、鸡：是鸡生蛋还是蛋生鸡，这事不能说得太细。   2、龙：不要迷恋哥，哥只是传说。   3、蚊子：不要迷恋姐，姐会让你吐血。   4、黔
动物同学上学迟到的搞笑理由,1、蚊子：最近有点晕血。   2、蜈蚣：妈妈新买了系鞋带的鞋子。   3、哈蟆：天鹅肉吃多了，拉肚子。   4、长颈鹿：来学校的路上今天开
又冷又逗的超萌动物,1、鲜花哭泣着道：“我不管我不管！人家就是要插在牛粪上！”   牛难受的说：“那你也...啊……等我拉完再...啊……”   2、鸭宝宝：“妈
滑稽幽默的动物笑话,1、大象：今天天真冷啊，看我，刚买了个耳朵帽。   长颈鹿：可不，冻死了，今天出来我特意找了条围巾戴上了。   2、小龙虾相亲之后回家
哲理爆笑猴子吃西瓜,猴王找到个大西瓜，可是怎么吃呢？这个猴王可从来没有吃过西瓜。   忽然他想出一条妙计，于是就把所有的猴子都召集起来，对大家说：“今
"哈哈,大放笑彩的是动物",1、蛇和蜈蚣相亲，蛇看了一眼蜈蚣道：“哎呀妈啊！你咋这么多腿呢？这得花多少钱买鞋啊！”   蜈蚣一听不高兴了：“哼，小样，还嫌我腿多
山洞里的母乌龟,一只公乌龟和一只母乌龟一块走进一个山洞，过了不久，公乌龟出来了，可母乌龟却没有出来，你知道为什么吗？   答案一：公乌龟把母乌
"动物的幽默辩解,很有道理哦",1、老虎说：谁说我的屁股摸不得？那是你们不懂按摩之道。   2、金鱼说：穿金戴银，说明咱的日子过相当不错。   3、哈巴狗说：温驯有啥不
巨冷逗人的动物爆笑,1、小青蛇去美容院割双眼皮，却被做成了“四眼皮”。   看到自己美容不成反遭毁容痛不欲生，小青蛇决定到法院告状进行索赔。   当它冲
感慨良多的幽默动物,1、龟：快节奏的后果就是短命。   2、羊：挂羊头卖狗肉，那是品牌效应。   3、长颈鹿：望远何须登高。   4、狗：坐轿子不是被抬举，是
狐狸的聪明,狐狸在山里生活。它拼尽全力，整天为生计奔忙，但是收效并不如意，它常常挨饿、受冻。它还常常遇到危险。一天，狐狸偷了农人的一只鸡，刚
动物带给人们的哲理启示,1、小熊猫：妈妈，为什么把我们关在笼子里坐牢，还叫我们国宝？   熊猫妈妈：我们这不是坐牢，是在当明星。   2、小耗子：妈妈，为什么
幽默动物逗你哈哈笑,1、小老鼠告诉妈妈说，它病了。于是老鼠妈妈说：“待会我去拿包老鼠药来。”   2、老虎抓住了大懒猫，临张口享受美餐之前，老虎忽然良心
搞笑动物:淹死鱼、动物献血和乌龟说梦话,1、一只熊抓住了一条大鱼回家了，熊对鱼说：“你自己选择一个死活吧，然后让我吃掉你。”   鱼说：“说，什么死法，请让我死得舒服点。”
鼬鼠和狮子、猫鼠、老虎等动物小寓言,1、一只鼬鼠要与一只狮子决战，狮子果断地拒绝了。鼬鼠说：“你害怕了吗？”   狮子说：“如果答应你，你就可以得到曾与狮子比武的殊荣；
幽默动物心里的幸福生活。,1、长颈鹿：幸福就是在寒冷的冬天里能够拥有一条温暖的围巾。   2、熊猫：幸福就是能够像别人一样拍上一张彩色照片。   3、螃蟹：幸福就
动物的报复、求爱等冷幽默,1、蛇被毒打了一顿之后，心有不甘。一天，它看到一只猫，就狠狠地咬了猫一口，并说：“别以为你装可爱，我就认不出你！”   猫被咬了以后
动物的开心冷笑话,1、老鼠和猫相遇，老鼠颤抖地对猫说：我是不是该安静地走开？   猫微笑着说：你知道我在等你吗？   老鼠哭喊：为什么受伤的总是我！
风趣动物侃名车,1、乌龟：俺的底盘是有点低，模样也不耐看，速度也不算快，可俺好歹也算是装甲车系列。   2、马：俺跑累了，流了点汗，就成了悍马。又不
动物也为房子烦恼,1、蜗牛：有房我也高兴不起来，房奴的日子不好过呀！   2、蚂蚁：俺有“公”寓，要是能分个高层看看远处的风景，那是再好不过了！   3、
很有搞笑天份的动物世界,1、早知道考“孵蛋大学”这么难！我就不报了，一只公鸡抱怨道。   2、猫和老虎从未见过面，有一天一只怀孕的猫和老虎擦肩而过，猫想：居
动物世界经常上演冷幽默,1、老虎抓到一只兔子，正准备开吃，兔子叫了起来：大王您不能吃我！   老虎笑了：请适度解释下。   兔子：您吃了我将失信于兽，因为您
动物王国的开心冷人事儿,1、灰太狼在家边做家务，边唱了起来：“狼爱上羊呀，爱得疯狂”。话音刚落，平顶锅就落脑袋上了。。。   2、据说狗的胆子很大，到底多大
动物的搞笑兼职,1、狗：在耗子公司做兼职，干起了专职保安。   2、鸡：在猫头鹰集团做兼职，提醒员工到点及时下班。   3、黄鼠狼：到狐狸学校做兼职，传
小猪、骆驼等动物经典冷笑话,1、小猪和妈妈去饭馆吃饭，小猪想吃“红烧肥肠”，被妈妈骂了一顿。“你有病啊？吃自己的下水？——服务员，我们吃饺子！”   “要什么馅
搞笑牛笑话,1、牛参加演唱会，导演问他：“为什么没带乐队？”   牛说：“我也弄不明白，好像没有人愿意对牛弹琴。”   2、一头耕牛很伤感地告诉同
动物才是幽默大伽!,1、一只乌鸦口渴了，看到瓶子里有半瓶水，它想到了向瓶子里投石子，就找到一块石子投了下去，不料，石子卡在了瓶口。。。   2、苍蝇和蚊
小寓言:渔夫、鱼和青蛙,1、渔夫到河边捕鱼，青蛙吓得往水里跳。水中的鱼见了，心里说：“这人在岸上，大概准备捉青蛙了。”   渔夫把网撒到了河里，鱼和青蛙都被
动物的冷人小幽默,1、老鼠凶狠地指着猫说：我现在和蝙蝠结婚了！将来我们的孩子生活在空中！再也不怕你了！   猫哈哈大笑，指了指树上的猫头鹰说：看见没，
动物的搞笑念头,1、大象：不知道那象牙筷子用着爽不爽。   2、狗：真想弄根打狗棒耍耍。   3、屎壳郎：我很“勤粪”，也很有“追球”，为啥名声还这么不
动物世界寓言小幽默,1、母猩猩生了一个小猩猩，奇丑无比。   母猩猩当时就哭了，哭得很伤心，这时候走来一个年长的猩猩，它走近小猩猩看了看说：“没关系，就
幽默动物小寓言,1、山羊把大象姑娘介绍给蚊子，蚊子其实早就爱上了大象姑娘，便一口答应了。   可蚊子母亲得知后，不太同意，说：“儿啊，大象是个好姑娘
马、老虎和蜗牛等动物小笑话,1、马与老虎一见钟情，恋爱三天后闪婚。可婚后两口子发现饮食习惯很不相同，无法共同生活，不得不很快闪离。   离婚当天，马在微博中感叹
乌龟、苍蝇和火鸡等动物冷笑话,1、黄莺看到在寻食的黄鼠狼说：“你这贼整天偷偷摸摸，老黄家的脸都被你丢尽了。”   话音刚落，黄莺被击落，黄鼠狼骂道：“你不知道现在
可爱可笑的动物乐园,1、林子大了，什么鸟儿都有。鸟儿多了，什么矛盾都有。   麻雀说燕子是怕冷的懦夫，燕子看鹦鹉生就一副奴颜媚骨，鹦鹉讥讽苍鹰好高骛远，
动物们的爆笑调侃,1、壁虎对变色龙   壁虎对变色龙：妹子，嫁大款了吧，一天换好几套新衣服？   变色龙对壁虎：姐们，嫁外科大夫了吧，尾巴咋还说没有就
动物畅想有钱之后.,1、屎壳郎：如果我有钱了，我再也不天天滚粪球了，我天天买粪球吃！   2、斑马：如果我有钱了，马上就整掉身上的文身，省得别人说我是不
搞笑冷人的动物小寓言,1、狼是演艺界的大明星。   狗找到他说乐意为他服务：端茶递水铺床叠被还分文不取。   狼被侍候的舒舒服服。   一天它终于忍不住：这
幽默动物的高考志愿,1、喜鹊：俺报的是传媒大学，播音主持专业，离自己做娱乐节目主持人的梦想又近了一步。   2、蜘蛛：虽说俺家开了个网吧，也就是能顾住全
有意思的动物冷笑话。,1、壁虎的女友又要换衣服了，壁虎说：“你真该好好向人家乌龟学习，一辈子就一件衣服，还永远都那么合身。”   2、猩猩是森林的领导，与
动物的幽默“变迁”,1、熊家庭条件特好，超有钱，夏天去北极避暑，就叫北极熊。到马来西亚旅游，就叫马来熊。海滩上太阳毒，晒成棕熊。又到非洲住三年把自己整
逗B动物笑侃世界杯,1、蚊子：全世界的人都盯着足球看，难道在足球上还能叮出血来？   2、屎壳郎：到底是滚足球，还是滚粪球，这的确是个问题。不过若是遇到
"哈哈,动物笑话5则,看了一定要笑哦~",1.一天兔子正看电视到精彩处，突然听到敲门声，走去开门却没见着人。“你好，能给我点水喝吗？”兔子这才发现门口有只蜗牛。“没有！”兔子
"动物冷幽默,笑的人不亦乐乎",1、兔子对乌龟说：“乌龟老弟，今天我们比个赛，看谁先回家？”   乌龟爽快答应道：“行，你准备好了吗？”   “准备好了，”兔子作冲
爆笑动物冷笑话5则,爆笑动物冷笑话:   1、动物园里一只黑猩猩出生了，老猩猩困惑地望着自己的后代。“别难过。”更老的猩猩安慰它，“在出生的最初几天，它
动物恋爱的快乐与烦恼,1、乌贼：我的条件还算不错，受过高等教育，胸中的墨水比较多，给飘亮MM写情书是我的强项。   2、鸠：“鸠占鹊巢”是你们对我的误解，只是
滑稽的动物笑死人了,1、长颈鹿住院了，兔子和狮子隔着窗户看它。   兔子：它自从进了医院就一直躺着吗？   狮子：是啊。   兔子：多久了？   狮子：五天
逗人的动物也玩冷幽默,1、蛤蟆、刺猬在森林里玩，突然从林中走出一只老虎，蛤蟆急忙跳进草丛躲起来，刺猬由于目标太大，无法躲藏，只好蜷缩成一团，竖起浑身的刺
有些冷的动物小笑话,1、螃蟹儿子：“我今天在学校上课不专心，要受处分。”   螃蟹妈妈：“老师怎么罚你？”   螃蟹儿子：“他要我一直往前走。”   2、老
经典动物寓言:狼吃小羊,傍晚，一只小羊独自在山坡上玩，突然从树木中窜出一只狼来，要吃羊，羊跳起来，拼命用角抵抗，并大声向朋友们求救。   牛在树丛中向这个
搞笑动物谈房子,1、黑猩猩：（双手拍胸脯）哥啥房都没有，只有两个乳房。   2、凤凰：我落在梧桐树上，是因为我找不到摇钱树。   3、寒号鸟：冻死我了，
动物的烦恼俏皮话,1、熊猫：老板，今天就别加班了吧，您瞧我的眼！   2、袋鼠：养个孩子真不容易，我的口袋都掏空了。   3、乌贼：搞什么公共场所戒烟，憋
冷人搞笑的动物,1、A：螃蟹干吗要横着走路？   B：它有那么多脚，怕自己踩着自己的脚呗！   2、小猫姑娘坐在镜子前涂口红，被一只老鼠看到了。   老鼠
幽默的动物发牢骚,1、鼠：儿啊，爹知道为了咱老鼠家族的长相，你遭了很多白眼，受了很多委屈。说实话，戴着贼眉鼠眼的“帽子”爹也憋屈啊，可谁让咱是弱势群
搞笑动物冷幽默,1、公鸡出差一个月，回来后听说鹌鹑没事老来找母鸡玩！   公鸡便开始怀疑起母鸡来！   果然，没过两天，母鸡就生了个鹌鹑蛋！   公鸡
动物趣侃职业和搞笑雷语,一、趣侃职业   1.蚊子：在一家小医院里工作，专管打针。   2.蜜蜂：俺是空姐，俺很辛苦。   3.蝴蝶：瞧俺的装扮还不明白，舞女嘛！
"冷人的动物,乐得你合不上嘴",1、鸽子和乌鸦刚结婚没多长时间，鸽子就后悔了，对乌鸦抱怨道：你竟然长得这么黑，还天天总爱说坏话，我受不了你了。   乌鸦：我爱说坏话
动物没钱也烦恼。,1、兔子：这年头，物价涨的怕人不说，钱越来越不好挣了，俺的生活质量一降再降。俺的那三套装修漂亮的小洋房，两套都租给了别人，收点租金
"动物当学生,毛病真不少.",动物当学生，毛病真不少，一个一个的被老师点名批评：   1、批评蜜蜂：课堂上你天天“嗡嗡嗡”，一刻不停的扰乱课堂秩序，明天把你家长叫
传奇：公鸡的故事（儿童不宜）,有个农夫养了一只公鸡和一大群母鸡。由于要给那么多的母鸡受孕，公鸡结果阳X了。于是农夫买了瓶伟哥灌给了那公鸡吃，公鸡吃了后发起来
幽默动物心里面的公平,1、小鱼问鱼妈妈：乌龟有壳，遇到敌人时，可以躲进去，我们没有保护，好可怜哟。   鱼妈妈答：但是他没有我们游得快啊，所以老天很公平。
一些狗的经典传说。,1、狗在跳高上有一技之长，因为狗急能跳墙。   2、狗有见义勇为的美德，因为狗拿耗子并不是多管闲事。   3、狗对医学有贡献，因为有狗皮
经典动物讽刺小笑话,1、蚂蚁爱上蜘蛛，成天围着网转悠，一不小心坠入网中，狂喜：“亲爱的，我来了！”   蜘蛛甚欢，急速上前，搂住狂亲：“亲爱的，我也爱你
意味深长滴动物冷幽默,1、海豚甲：看，有个人落水了。   海豚乙：他别把水搞臭了，赶紧把他给我扔出去。   海豚们：好嘞。   人类：哇，海豚救人了！   2
笑果不赖的动物小讽刺,1、一群猴子与一群大象在抢吃一棵树上的果子。   猴王对众猴训话说：“凡事要动脑筋，不然会变得像大象那样又蠢又笨。”   大象听了很
哲理、内涵的动物寓言,1、森林歌唱比赛中，百灵凭着婉转动听的歌喉最终夺冠，荣膺“森林歌王”的称号。   可紧接着，各种各样的流言就传开了，有的说百灵是虎王
"好冷的动物,跟寓言似的",1、老虎和鼹鼠同时对小白兔产生了感情，老虎每天守在小白兔家门口，不准任何动物亲近；鼹鼠却默默打了一条通往小白兔家的地道，每天早上悄
个性俏皮的笑言笑语,1、脸皮是人身体上最神奇的一部分，可红可黑，可厚可薄，可大可小，甚至可有可无。   2、世界上最遥远的距离，不是我站在你面前，你却不
"观战欧洲杯,动物球迷也疯狂",1、老虎：足球要是肉做的，抢球估计没人能抢过我。   2、蚊子：凡是夜里光膀子看球的球迷俺们就不叮！爱咋咋地！   3、蚂蚁：看球赛期间
动物们心酸的表白。,1、章鱼：因为成功地预测了8场世界杯比赛的胜负，别人总是“章鱼哥”、“章鱼帝”地叫我，其实在很多人心里我只是“水货”。   2、狗：别
好笑冷人的动物幽默,1、松鼠姑娘开了一家美容院生意非常火爆，一天她被邀请参加森林电视台的“现代生意经”栏目做嘉宾。   主持人：您好松鼠姑娘，可以问一下
动物有钱后的雷人想法。,1、母鸡说：“如果我有钱了，我要申请成为丁克家族，同时，请名医给我实施绝育手术。”   2、癞蛤蟆说：“如果我有钱了，我要开个养殖场
蜗牛和猎豹的烦恼和好学的小老鼠,1、某天，蜗牛和猎豹在聊天。蜗牛望着猎豹强健的体魄，羡慕的说：“动作快真是好呀，可是我......唉，上周末和女朋友去看电影，快开场的时候
人呀总是不满足.,一个开门营业的屠夫见一条狗走进铺子里来，很生气，他把那条狗轰走了。可是，不久那条狗又回来了。   于是，屠夫走到那条狗跟前，发现狗
"父亲节,动物给父亲的礼物",1、孔雀：俺给父亲开了一次屏，而且是彩屏，不收任何开屏费，父亲肯定会为俺在艺术道路上取得的成就感到骄傲和自豪！   2、蝴蝶：俺给父
闲侃动物混职场,1、狐狸：在我们单位，我还是混得不错的，哪个见了我不毕恭毕敬的。   2、老虎：听说我不在的时候这里挺乱的。   3、乌龟：还是我那海龟
军队到森林里面去征兵,军队征召动物们从军去打仗，于是森林里的动物全都要来体检。   排第一的猴子很不想从军去， 他看看他的长尾巴，于是牙一咬狠下心来把它折
动物总能给人们很多启示。,1、驴总想夸耀自己的耳朵。   “大公鸡，你的耳朵有我的大吗？”   “小青蛙，你的耳朵能听见声音吗？”   “哈巴狗，你的耳朵怎么耷
动物告诉我们的一些生活常识,1、孔雀告诉我们：“人靠衣装，马靠鞍！”   2、蝴蝶告诉我们：“女大十八变，越变越好看！”   3、龙告诉我们：不要迷恋哥，哥只是一个
经典动物笑话5则,1、老虎和狐狸一起进入餐厅，狐狸:一碗牛肉面。侍者转向老虎:您呢？狐狸插嘴道:不用招呼他，要是他饿了，我哪有胆量跟他走在一起！   2、
动物房奴们的烦恼。,1、蚕蛹：做个有房户真好，从此不再“雁照门”。   2、袋鼠：人要有无私的精神，我的房子，尽管产权归我，但使用权永远都是孩子们的。
凶残恶搞动物的爆笑,1、一头猪去韩国整容，按照意愿它被整成人头。   可是顶着人头回到家里后，猪妈妈不认它了，它很伤心，于是就四处挑衅:“你们来揍我啊，
动物冷幽默,1、猫和猪是好朋友。一天猫掉进洞里，猪拿来了绳子，猫叫猪把绳子扔下来，结果它整捆扔了下去，猫很郁闷的说：“这样扔下来，怎么拉我上去
"兔子看到这些,估计要自杀...",1、生性残忍，生个孩子起名叫兔宰子。   2、连乌龟都跑不过，还敢去报名参加越野比赛。   3、不吃窝边草，使住宅周围杂草从生，严重影响
蕴含丰富哲理的动物寓言,1、有一次，一只小老鼠发现农场主在她经常出没的地方安放了一只鼠夹，于是她就把这件事告诉了农场主家里养的母鸡、绵羊和奶牛。   但母鸡
很有搞笑天份的动物,1、“长颈好吗？”蚂蚁问长颈鹿。   长颈鹿回道：“不好！”   蚂蚁又问：“为什么？”   长颈鹿郁闷道：“经常摸不着头脑！”   2
动物写的微博很幽默。,1、鹩哥：天下没有免费的圈养！只要我天天不说鸟语说人话，就有吃有喝有巢住。   2、麻雀：凤凰是啥模样？让这种看不见的大鸟成为俺一生
有才:动物墓碑上的搞笑墓志铭,1、青蛙：贵为王子，因被贬为蛙，落井中，期公主而不遇，卒为蛙而终，时人常叹息之。   2、白马：系出名门，其先世知名者众，周穆王时有
动物、河水会讲大道理,1、有缝，苍蝇才能进去下蛆；有缝，老鼠才能进去打洞；有缝，白蚁才能进去筑巢。世间多少事，毁就毁在这些小小的缝隙里，世间多少事，成就
动物们的幽默。,1、乌龟爸爸带着乌龟儿子锻炼身体——做俯卧撑。小乌龟干净利落地做了一百个俯卧撑之后，拍了拍手上的灰说：“这太容易了！”   乌龟爸爸
热情的动物纷纷为高考加油。,1、蜗牛：高考期间，针对考场分布比较广的特点，为方便考生，减少花费在路上的时间，保证考生们的睡眠，俺将免费提供可移动螺旋式微型高考
动物恋爱、觅食小幽默,1、马蜂追求白蝴蝶：你是洁白的天使，我爱你的纯朴！次日，马蜂见到花蝴蝶，盯了许久后挖苦道：“哟，蛮时尚啊！一天不见就搞上身体彩绘了
动物笑话都比较冷,1、蚂蚁对大象说：“我爱你！”   大象激动得喘着粗气，仰天狂呼：“我是世界上最幸福的象！”   大象兴奋地想要拥抱蚂蚁，却发现蚂蚁
